ID,Age,Education,Marital_Status,Income,Total_Spending,Total_Purchases,Recency,Total_Campaign_Accepted,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,Customer_Segment
4047,60,PhD,Married,65324.0,544,17,0,0,6,2,9,Regular / Moderate-Value Customers
1409,63,Graduation,Together,40689.0,444,13,69,0,7,1,5,Regular / Moderate-Value Customers
7892,45,Graduation,Single,18589.0,75,6,89,0,2,1,3,Low-Value / Low-Engagement Customers
2404,38,Graduation,Married,53359.0,257,10,4,0,5,1,4,Regular / Moderate-Value Customers
5255,28,Graduation,Single,51373.0,637,27,19,0,27,0,0,High-Value & Highly Engaged Customers
9422,25,Graduation,Married,38360.0,131,7,26,0,2,1,4,Low-Value / Low-Engagement Customers
1966,49,PhD,Married,84618.0,1672,25,96,1,6,9,10,High-Value & Highly Engaged Customers
6864,25,Master,Divorced,10979.0,30,6,34,0,3,0,3,Low-Value / Low-Engagement Customers
3033,51,Master,Together,38620.0,318,10,56,0,2,5,3,Low-Value / Low-Engagement Customers
5710,44,Graduation,Together,40548.0,120,7,31,1,2,1,4,Regular / Moderate-Value Customers
7373,62,PhD,Divorced,46610.0,302,11,8,0,4,1,6,Regular / Moderate-Value Customers
8755,68,Master,Married,68657.0,1196,17,4,0,3,5,9,High-Value & Highly Engaged Customers
10738,63,Master,Single,49389.0,65,5,55,0,2,0,3,Regular / Moderate-Value Customers
4339,44,PhD,Married,67353.0,913,23,37,0,5,6,12,High-Value & Highly Engaged Customers
10755,38,2n Cycle,Married,23718.0,81,6,76,0,3,1,2,Low-Value / Low-Engagement Customers
8595,41,Graduation,Widow,42429.0,67,5,99,0,1,1,3,Regular / Moderate-Value Customers
2968,71,PhD,Divorced,48948.0,902,22,53,1,7,10,5,High-Value & Highly Engaged Customers
8601,34,Graduation,Married,80011.0,1395,19,3,0,8,6,5,High-Value & Highly Engaged Customers
503,29,Master,Married,20559.0,53,5,88,0,2,0,3,Low-Value / Low-Engagement Customers
8430,57,Graduation,Together,21994.0,22,3,4,0,0,0,3,Low-Value / Low-Engagement Customers
7281,55,PhD,Single,51373.0,186,8,80,0,1,3,4,Regular / Moderate-Value Customers
2139,39,Master,Married,7500.0,31,5,19,0,2,0,3,Low-Value / Low-Engagement Customers
1371,38,Graduation,Single,79941.0,984,15,72,0,2,4,9,High-Value & Highly Engaged Customers
9909,18,2n Cycle,Married,7500.0,122,7,24,0,3,1,3,Low-Value / Low-Engagement Customers
7286,46,Graduation,Together,41728.0,55,4,92,0,2,0,2,Low-Value / Low-Engagement Customers
7244,63,Graduation,Single,51373.0,124,7,96,0,2,1,4,Regular / Moderate-Value Customers
6566,60,PhD,Married,72550.0,1319,19,39,0,5,2,12,Regular / Moderate-Value Customers
8614,57,Graduation,Widow,65486.0,507,16,29,0,4,2,10,High-Value & Highly Engaged Customers
4114,50,Master,Married,79143.0,1693,28,2,0,6,9,13,High-Value & Highly Engaged Customers
1331,37,Graduation,Single,35790.0,72,5,54,0,2,0,3,Low-Value / Low-Engagement Customers
2225,37,Graduation,Divorced,82582.0,1617,20,54,2,4,9,7,High-Value & Highly Engaged Customers
9381,36,Graduation,Married,66373.0,606,16,57,0,4,2,10,Regular / Moderate-Value Customers
6260,59,Master,Together,82384.0,1957,26,55,1,3,10,13,High-Value & Highly Engaged Customers
10383,48,Graduation,Divorced,70287.0,1093,20,30,0,5,5,10,High-Value & Highly Engaged Customers
7437,26,Graduation,Single,27938.0,29,5,31,0,1,0,4,Low-Value / Low-Engagement Customers
8557,32,Graduation,Single,51373.0,46,5,57,0,2,0,3,Low-Value / Low-Engagement Customers
8375,46,PhD,Married,55954.0,518,16,63,0,8,2,6,Regular / Moderate-Value Customers
6853,32,Master,Single,75777.0,1438,20,12,2,3,6,11,High-Value & Highly Engaged Customers
3076,39,Graduation,Together,66653.0,612,18,18,0,4,2,12,Regular / Moderate-Value Customers
1012,62,Graduation,Single,61823.0,884,20,26,0,8,2,10,Regular / Moderate-Value Customers
6518,63,PhD,Widow,67680.0,606,18,8,0,7,3,8,Regular / Moderate-Value Customers
4137,66,Graduation,Together,70666.0,1076,15,29,0,7,4,4,High-Value & Highly Engaged Customers
8082,43,Graduation,Married,25721.0,34,4,75,0,1,1,2,Low-Value / Low-Engagement Customers
1386,47,Graduation,Together,32474.0,11,3,0,0,1,0,2,Regular / Moderate-Value Customers
9369,35,2n Cycle,Single,88194.0,1274,31,19,2,11,10,10,High-Value & Highly Engaged Customers
4477,56,Graduation,Together,69096.0,653,17,4,0,5,2,10,High-Value & Highly Engaged Customers
1357,44,Graduation,Together,74854.0,1562,12,90,0,2,5,5,Regular / Moderate-Value Customers
1402,60,Master,Married,66991.0,1253,18,1,0,4,8,6,High-Value & Highly Engaged Customers
10629,41,2n Cycle,Married,51373.0,109,6,25,0,3,0,3,Low-Value / Low-Engagement Customers
6312,55,Graduation,Married,65031.0,863,26,29,0,10,3,13,High-Value & Highly Engaged Customers
8132,39,PhD,Married,60631.0,661,19,88,1,9,2,8,Regular / Moderate-Value Customers
1050,62,Graduation,Married,28332.0,65,7,58,0,2,1,4,Low-Value / Low-Engagement Customers
5846,37,Graduation,Divorced,40246.0,13,3,68,0,1,0,2,Low-Value / Low-Engagement Customers
1859,42,Master,Married,75251.0,1890,18,34,0,7,6,5,High-Value & Highly Engaged Customers
7503,38,Graduation,Single,75825.0,2209,22,40,1,5,8,9,High-Value & Highly Engaged Customers
10401,38,2n Cycle,Together,26326.0,18,3,12,0,0,0,3,Low-Value / Low-Engagement Customers
1618,49,Graduation,Together,56046.0,692,19,9,1,10,1,8,High-Value & Highly Engaged Customers
3332,29,Graduation,Single,29760.0,165,8,87,0,3,1,4,Regular / Moderate-Value Customers
2261,45,Graduation,Married,26304.0,16,3,5,0,1,0,2,Low-Value / Low-Engagement Customers
5346,41,2n Cycle,Married,23559.0,79,6,87,0,3,0,3,Low-Value / Low-Engagement Customers
4119,51,Master,Together,38620.0,318,10,56,0,2,5,3,Low-Value / Low-Engagement Customers
535,27,Graduation,Divorced,81361.0,778,26,18,0,3,10,13,High-Value & Highly Engaged Customers
5268,54,Graduation,Married,29440.0,56,5,95,0,1,0,4,Low-Value / Low-Engagement Customers
273,44,Master,Married,36138.0,151,8,48,1,3,1,4,Regular / Moderate-Value Customers
4452,57,Graduation,Single,50388.0,372,13,3,2,6,1,6,Regular / Moderate-Value Customers
8504,41,Graduation,Married,79593.0,1366,18,70,1,5,6,7,High-Value & Highly Engaged Customers
771,47,Graduation,Together,54178.0,194,9,79,0,2,2,5,Regular / Moderate-Value Customers
8996,57,PhD,Married,51373.0,603,17,4,0,7,2,8,Regular / Moderate-Value Customers
9235,57,Graduation,Single,51373.0,18,3,45,0,1,0,2,Regular / Moderate-Value Customers
5798,41,Master,Together,51373.0,985,14,87,0,2,4,8,High-Value & Highly Engaged Customers
11178,42,Master,Single,42394.0,32,4,69,0,1,0,3,Regular / Moderate-Value Customers
2230,44,PhD,Married,23626.0,43,7,84,0,3,1,3,Regular / Moderate-Value Customers
7516,31,Graduation,Married,30096.0,45,5,30,0,2,0,3,Low-Value / Low-Engagement Customers
7247,54,Graduation,Widow,47916.0,606,17,72,1,7,4,6,Regular / Moderate-Value Customers
11100,42,Graduation,Divorced,51813.0,63,5,37,0,2,0,3,Regular / Moderate-Value Customers
4646,63,2n Cycle,Married,78497.0,978,24,44,1,5,7,12,High-Value & Highly Engaged Customers
3037,31,PhD,Married,50150.0,410,14,32,0,5,2,7,Low-Value / Low-Engagement Customers
1473,54,2n Cycle,Single,47823.0,72,5,0,0,2,0,3,Regular / Moderate-Value Customers
1016,55,PhD,Single,34554.0,55,5,43,0,2,0,3,Regular / Moderate-Value Customers
4518,35,Graduation,Together,85693.0,1169,25,59,0,9,5,11,High-Value & Highly Engaged Customers
9370,69,PhD,Married,65846.0,1120,15,68,0,6,3,6,High-Value & Highly Engaged Customers
8908,55,Graduation,Married,87195.0,1097,19,35,0,3,11,5,High-Value & Highly Engaged Customers
8373,35,Basic,Together,24594.0,29,4,94,0,1,0,3,Low-Value / Low-Engagement Customers
7533,50,Graduation,Married,49096.0,187,9,15,0,4,1,4,Regular / Moderate-Value Customers
2683,45,Graduation,Married,52413.0,910,22,56,0,6,4,12,Regular / Moderate-Value Customers
3629,36,Graduation,Single,38557.0,145,7,17,0,3,1,3,Regular / Moderate-Value Customers
10991,54,Master,Married,89058.0,850,13,18,0,5,4,4,High-Value & Highly Engaged Customers
5077,35,Graduation,Together,77298.0,969,23,46,0,6,6,11,High-Value & Highly Engaged Customers
7431,23,PhD,Single,68126.0,1820,16,40,1,7,4,5,High-Value & Highly Engaged Customers
3267,51,Master,Together,57288.0,608,17,27,1,8,1,8,Regular / Moderate-Value Customers
999,23,Graduation,Single,86037.0,730,24,95,2,6,7,11,High-Value & Highly Engaged Customers
9215,34,PhD,Married,43974.0,551,16,19,0,6,4,6,Regular / Moderate-Value Customers
2286,52,Graduation,Single,50785.0,114,6,27,0,2,1,3,Regular / Moderate-Value Customers
1592,44,Graduation,Married,90765.0,1724,15,25,2,4,6,5,High-Value & Highly Engaged Customers
367,36,2n Cycle,Married,36550.0,577,15,74,0,9,1,5,Low-Value / Low-Engagement Customers
5234,47,2n Cycle,Together,30753.0,81,5,85,0,1,1,3,Low-Value / Low-Engagement Customers
9862,45,Graduation,Together,21918.0,33,5,37,0,2,0,3,Low-Value / Low-Engagement Customers
9805,61,Master,Together,56129.0,660,18,65,0,6,2,10,Regular / Moderate-Value Customers
6205,47,Master,Single,32557.0,80,6,13,0,2,1,3,Regular / Moderate-Value Customers
8442,29,Master,Married,19510.0,30,4,63,0,1,0,3,Low-Value / Low-Engagement Customers
7386,38,Graduation,Divorced,30992.0,43,4,83,0,1,0,3,Low-Value / Low-Engagement Customers
7215,31,Graduation,Single,101970.0,1135,27,69,3,6,8,13,High-Value & Highly Engaged Customers
1491,49,2n Cycle,Together,71488.0,559,14,87,0,3,4,7,High-Value & Highly Engaged Customers
11071,30,Graduation,Single,79607.0,1923,15,37,0,3,6,6,High-Value & Highly Engaged Customers
3381,61,Master,Married,54348.0,90,6,51,0,2,0,4,Regular / Moderate-Value Customers
8268,53,PhD,Married,51373.0,404,14,23,0,6,1,7,Regular / Moderate-Value Customers
11051,58,PhD,Together,77376.0,661,19,72,0,6,3,10,Regular / Moderate-Value Customers
8026,62,Graduation,Married,62998.0,463,14,10,0,5,4,5,Low-Value / Low-Engagement Customers
433,56,Master,Other,61331.0,632,18,42,0,11,1,6,Regular / Moderate-Value Customers
9597,45,Graduation,Married,73448.0,725,18,10,0,7,2,9,High-Value & Highly Engaged Customers
1295,51,Graduation,Married,51373.0,725,18,96,0,6,5,7,High-Value & Highly Engaged Customers
5290,50,PhD,Married,41551.0,279,11,51,0,5,1,5,Regular / Moderate-Value Customers
1685,47,PhD,Together,62981.0,1482,22,21,1,4,5,13,High-Value & Highly Engaged Customers
5342,38,Basic,Divorced,9548.0,29,4,31,0,1,0,3,Low-Value / Low-Engagement Customers
9579,55,PhD,Married,33762.0,106,6,61,0,2,2,2,Regular / Moderate-Value Customers
7660,41,PhD,Other,35860.0,49,4,37,1,1,1,2,Regular / Moderate-Value Customers
1461,49,PhD,Divorced,36921.0,38,5,74,0,2,0,3,Regular / Moderate-Value Customers
821,22,Master,Single,92859.0,2077,21,46,0,5,4,12,High-Value & Highly Engaged Customers
11084,38,Master,Together,65104.0,1053,15,4,0,3,5,7,Regular / Moderate-Value Customers
8690,52,Graduation,Married,86111.0,1385,22,73,0,5,7,10,High-Value & Highly Engaged Customers
2937,40,PhD,Single,68352.0,871,22,47,0,8,5,9,Regular / Moderate-Value Customers
9701,26,Graduation,Together,41883.0,312,9,13,0,4,2,3,Low-Value / Low-Engagement Customers
9949,38,Graduation,Married,59809.0,877,12,36,0,3,3,6,Regular / Moderate-Value Customers
10837,39,Graduation,Married,23957.0,68,5,47,0,2,0,3,Low-Value / Low-Engagement Customers
3120,33,Graduation,Together,38547.0,22,3,49,0,1,0,2,Low-Value / Low-Engagement Customers
5885,41,2n Cycle,Married,35688.0,211,9,94,0,4,1,4,Regular / Moderate-Value Customers
4050,48,Master,Married,49605.0,127,7,65,0,2,1,4,Low-Value / Low-Engagement Customers
3830,61,Master,Married,59354.0,459,15,59,0,4,4,7,Regular / Moderate-Value Customers
7987,45,Graduation,Married,65747.0,460,15,96,1,8,1,6,Regular / Moderate-Value Customers
7798,42,2n Cycle,Together,46344.0,429,13,28,0,7,1,5,Regular / Moderate-Value Customers
92,26,Graduation,Other,34176.0,89,7,12,0,3,0,4,Low-Value / Low-Engagement Customers
7055,62,PhD,Together,61010.0,1021,24,57,0,8,5,11,Regular / Moderate-Value Customers
10240,65,Graduation,Together,69372.0,1381,20,10,2,10,4,6,High-Value & Highly Engaged Customers
3025,56,Graduation,Single,49967.0,306,12,4,0,6,1,5,Regular / Moderate-Value Customers
9283,36,Graduation,Single,60199.0,18,3,49,0,0,0,3,Regular / Moderate-Value Customers
9970,37,Graduation,Together,55375.0,162,8,3,0,1,1,6,Low-Value / Low-Engagement Customers
2730,59,Graduation,Single,80317.0,1231,17,64,0,3,4,10,High-Value & Highly Engaged Customers
2795,56,Master,Single,30523.0,13,3,0,0,1,0,2,Regular / Moderate-Value Customers
9260,69,PhD,Married,70356.0,1706,25,20,0,10,6,9,High-Value & Highly Engaged Customers
8182,30,Graduation,Married,23228.0,121,7,91,0,3,0,4,Low-Value / Low-Engagement Customers
10095,39,PhD,Divorced,74165.0,1293,19,9,0,5,4,10,High-Value & Highly Engaged Customers
8475,41,PhD,Married,157243.0,1608,22,98,0,0,22,0,High-Value & Highly Engaged Customers
4370,48,Graduation,Together,43482.0,88,6,83,0,2,0,4,Regular / Moderate-Value Customers
10573,61,Graduation,Divorced,62551.0,421,17,27,1,6,7,4,High-Value & Highly Engaged Customers
3712,55,Graduation,Divorced,52332.0,259,11,63,1,3,2,6,Regular / Moderate-Value Customers
6637,26,Graduation,Single,66951.0,1117,14,46,0,3,4,7,High-Value & Highly Engaged Customers
3152,57,Graduation,Together,26091.0,89,6,84,0,2,1,3,Low-Value / Low-Engagement Customers
5610,49,Graduation,Together,33456.0,36,4,58,0,1,0,3,Low-Value / Low-Engagement Customers
6460,32,Graduation,Married,28718.0,57,5,78,0,2,0,3,Low-Value / Low-Engagement Customers
1349,44,Graduation,Married,50447.0,148,7,4,0,3,1,3,Regular / Moderate-Value Customers
1880,55,PhD,Together,53537.0,93,6,17,0,2,1,3,Regular / Moderate-Value Customers
641,47,Graduation,Single,52074.0,119,6,77,1,2,2,2,Regular / Moderate-Value Customers
8717,39,PhD,Married,80427.0,1835,27,56,0,11,8,8,High-Value & Highly Engaged Customers
10314,66,PhD,Married,83837.0,1318,24,79,2,9,10,5,High-Value & Highly Engaged Customers
10854,44,PhD,Married,38853.0,45,5,90,0,2,0,3,Regular / Moderate-Value Customers
10492,55,Graduation,Together,38285.0,10,3,96,0,0,0,3,Low-Value / Low-Engagement Customers
6935,63,2n Cycle,Married,78497.0,978,24,44,1,5,7,12,High-Value & Highly Engaged Customers
7698,38,PhD,Married,51650.0,191,9,81,0,4,1,4,Regular / Moderate-Value Customers
3559,26,2n Cycle,Married,16248.0,57,6,77,0,2,1,3,Low-Value / Low-Engagement Customers
10562,68,Master,Married,66835.0,1033,23,21,0,6,4,13,High-Value & Highly Engaged Customers
10796,30,Master,Married,30477.0,66,5,16,0,1,1,3,Regular / Moderate-Value Customers
2563,53,Basic,Married,28249.0,43,5,80,0,2,0,3,Low-Value / Low-Engagement Customers
3518,31,Graduation,Married,25271.0,50,4,45,0,1,1,2,Low-Value / Low-Engagement Customers
5823,44,PhD,Single,32303.0,39,5,63,0,1,0,4,Regular / Moderate-Value Customers
3934,48,Graduation,Married,61286.0,608,16,34,0,7,1,8,Regular / Moderate-Value Customers
6982,38,Graduation,Married,74068.0,1581,23,14,0,4,10,9,High-Value & Highly Engaged Customers
6431,50,PhD,Married,45759.0,68,5,13,0,2,0,3,Regular / Moderate-Value Customers
9733,36,Basic,Together,24882.0,80,4,52,1,1,1,2,Low-Value / Low-Engagement Customers
5602,25,PhD,Together,66973.0,1282,27,98,0,8,7,12,High-Value & Highly Engaged Customers
1324,26,Graduation,Married,38872.0,91,6,93,0,3,0,3,Low-Value / Low-Engagement Customers
326,41,Graduation,Married,51148.0,315,12,38,0,5,1,6,Regular / Moderate-Value Customers
7224,37,Graduation,Married,31353.0,31,4,24,0,1,1,2,Regular / Moderate-Value Customers
6999,34,Master,Married,69661.0,834,22,80,0,7,3,12,High-Value & Highly Engaged Customers
9938,60,Graduation,Married,80067.0,1600,16,82,1,4,6,6,High-Value & Highly Engaged Customers
6422,60,Graduation,Married,86718.0,1270,16,20,0,5,6,5,High-Value & Highly Engaged Customers
3182,41,PhD,Single,46854.0,263,9,81,1,5,1,3,Regular / Moderate-Value Customers
7300,62,Graduation,Divorced,69142.0,535,16,50,1,8,1,7,Regular / Moderate-Value Customers
10424,46,Graduation,Single,75922.0,1295,17,60,0,4,4,9,High-Value & Highly Engaged Customers
8727,36,Graduation,Divorced,63693.0,1150,26,63,0,11,6,9,High-Value & Highly Engaged Customers
2798,37,PhD,Together,102160.0,1240,26,54,3,7,9,10,High-Value & Highly Engaged Customers
1030,49,PhD,Single,40637.0,38,4,72,0,1,0,3,Regular / Moderate-Value Customers
624,30,Master,Single,18890.0,35,3,5,1,0,1,2,Low-Value / Low-Engagement Customers
5176,26,Graduation,Together,29604.0,53,4,88,1,1,0,3,Low-Value / Low-Engagement Customers
5552,51,Master,Divorced,48721.0,293,11,50,0,4,2,5,Regular / Moderate-Value Customers
868,48,Graduation,Married,44794.0,65,5,99,0,2,0,3,Regular / Moderate-Value Customers
380,60,Graduation,Divorced,64497.0,1804,24,17,1,11,4,9,High-Value & Highly Engaged Customers
2677,58,Graduation,Together,46097.0,241,10,11,0,3,1,6,Low-Value / Low-Engagement Customers
6521,60,Graduation,Together,77972.0,1101,19,18,0,4,6,9,High-Value & Highly Engaged Customers
6927,46,PhD,Married,44377.0,264,11,70,0,5,1,5,Regular / Moderate-Value Customers
2877,40,Master,Together,46014.0,541,16,21,0,7,1,8,Regular / Moderate-Value Customers
0,29,Graduation,Married,70951.0,1198,16,66,0,3,4,9,High-Value & Highly Engaged Customers
1584,37,Graduation,Married,41443.0,482,14,79,0,8,1,5,Regular / Moderate-Value Customers
7264,36,2n Cycle,Single,52195.0,17,3,2,0,1,0,2,Regular / Moderate-Value Customers
6274,66,Master,Married,83790.0,1615,24,81,2,8,10,6,High-Value & Highly Engaged Customers
1377,60,Master,Widow,44551.0,285,10,24,0,4,1,5,Regular / Moderate-Value Customers
454,34,Graduation,Together,69508.0,1135,26,48,0,11,4,11,High-Value & Highly Engaged Customers
1755,26,2n Cycle,Together,45204.0,114,6,93,0,1,1,4,Low-Value / Low-Engagement Customers
2075,45,Graduation,Married,72460.0,1047,15,56,0,3,5,7,High-Value & Highly Engaged Customers
4785,44,PhD,Together,77622.0,714,20,3,0,6,3,11,Regular / Moderate-Value Customers
9076,34,PhD,Married,30732.0,185,9,44,0,4,1,4,Regular / Moderate-Value Customers
7079,52,Graduation,Divorced,63887.0,1245,27,38,0,9,6,12,High-Value & Highly Engaged Customers
4653,36,Graduation,Together,42011.0,189,8,46,0,3,1,4,Regular / Moderate-Value Customers
7375,38,Graduation,Together,51369.0,576,14,84,0,8,2,4,Regular / Moderate-Value Customers
709,62,Graduation,Divorced,51537.0,1103,15,27,0,2,2,11,Regular / Moderate-Value Customers
460,42,PhD,Married,79930.0,1753,16,72,0,3,5,8,High-Value & Highly Engaged Customers
3726,28,PhD,Together,34320.0,17,3,66,0,1,0,2,Low-Value / Low-Engagement Customers
6798,48,Graduation,Single,37070.0,433,14,30,0,5,1,8,Regular / Moderate-Value Customers
5341,52,2n Cycle,Divorced,81975.0,1588,13,2,1,6,3,4,High-Value & Highly Engaged Customers
1606,43,Graduation,Together,38590.0,22,3,65,0,1,0,2,Low-Value / Low-Engagement Customers
9617,63,Graduation,Single,15033.0,19,4,37,0,1,0,3,Low-Value / Low-Engagement Customers
3233,49,PhD,Married,62745.0,1117,26,89,0,7,8,11,High-Value & Highly Engaged Customers
89,39,2n Cycle,Married,22212.0,69,6,49,0,2,0,4,Low-Value / Low-Engagement Customers
2936,32,Master,Together,23661.0,23,4,46,0,1,0,3,Regular / Moderate-Value Customers
9449,56,PhD,Single,79761.0,605,18,32,0,5,2,11,Regular / Moderate-Value Customers
7297,41,Graduation,Single,7500.0,57,7,54,0,3,1,3,Low-Value / Low-Engagement Customers
313,46,Graduation,Widow,73455.0,2088,21,98,1,6,5,10,High-Value & Highly Engaged Customers
9940,56,Graduation,Together,64961.0,1009,14,97,0,6,4,4,High-Value & Highly Engaged Customers
10735,43,Graduation,Single,22804.0,26,4,75,0,2,0,2,Regular / Moderate-Value Customers
9529,24,Graduation,Married,73687.0,1627,21,8,1,3,9,9,High-Value & Highly Engaged Customers
6439,56,Graduation,Married,61074.0,1102,24,37,0,11,5,8,Regular / Moderate-Value Customers
7411,50,PhD,Married,31686.0,17,4,31,0,1,0,3,Regular / Moderate-Value Customers
2176,42,Graduation,Married,80134.0,1690,14,40,3,5,3,6,High-Value & Highly Engaged Customers
9265,61,Graduation,Married,75027.0,1390,19,74,0,9,4,6,High-Value & Highly Engaged Customers
8867,26,PhD,Married,67546.0,2126,19,90,0,4,10,5,High-Value & Highly Engaged Customers
8932,45,Master,Together,65176.0,1531,21,57,0,9,6,6,High-Value & Highly Engaged Customers
10236,39,Master,Single,31160.0,64,5,59,0,2,0,3,Low-Value / Low-Engagement Customers
6340,29,Graduation,Single,29938.0,26,4,52,0,1,0,3,Low-Value / Low-Engagement Customers
10089,40,Graduation,Divorced,102692.0,1112,28,5,4,6,9,13,High-Value & Highly Engaged Customers
2227,56,2n Cycle,Together,26490.0,210,9,92,0,3,1,5,Low-Value / Low-Engagement Customers
10992,47,Graduation,Together,75702.0,1148,21,77,0,4,6,11,Regular / Moderate-Value Customers
5304,40,PhD,Single,30899.0,33,4,35,0,1,0,3,Regular / Moderate-Value Customers
309,53,PhD,Together,63342.0,1101,16,48,1,8,3,5,Regular / Moderate-Value Customers
3406,50,Graduation,Single,45989.0,322,12,97,0,3,2,7,Regular / Moderate-Value Customers
2661,50,Graduation,Single,18701.0,44,6,95,0,2,0,4,Low-Value / Low-Engagement Customers
3153,57,PhD,Single,40737.0,17,3,24,0,1,0,2,Regular / Moderate-Value Customers
10264,35,Graduation,Divorced,15287.0,31,4,60,1,1,1,2,Low-Value / Low-Engagement Customers
1184,46,PhD,Divorced,69674.0,845,22,46,0,10,2,10,Regular / Moderate-Value Customers
4200,44,Master,Married,44159.0,275,11,85,0,4,1,6,Regular / Moderate-Value Customers
9396,36,PhD,Married,37717.0,25,3,31,0,1,0,2,Low-Value / Low-Engagement Customers
2387,62,Master,Together,43776.0,275,11,9,0,5,2,4,Regular / Moderate-Value Customers
6690,48,Master,Married,38179.0,90,7,30,0,3,1,3,Regular / Moderate-Value Customers
1225,51,Graduation,Married,80124.0,1495,18,47,1,3,7,8,High-Value & Highly Engaged Customers
9703,44,PhD,Married,38097.0,184,7,70,1,3,2,2,Regular / Moderate-Value Customers
291,44,Graduation,Married,72940.0,981,12,13,0,3,3,6,High-Value & Highly Engaged Customers
4557,44,Graduation,Together,22070.0,67,6,11,0,2,2,2,Low-Value / Low-Engagement Customers
2379,61,Graduation,Single,69267.0,1635,12,31,0,3,4,5,High-Value & Highly Engaged Customers
5726,31,Master,Single,31788.0,60,7,15,0,3,0,4,Low-Value / Low-Engagement Customers
3066,39,PhD,Together,61905.0,231,10,2,0,4,2,4,Regular / Moderate-Value Customers
6336,54,Graduation,Married,29315.0,48,6,55,0,2,0,4,Low-Value / Low-Engagement Customers
10967,51,Graduation,Divorced,33378.0,99,6,38,0,2,0,4,Regular / Moderate-Value Customers
2304,51,PhD,Together,66313.0,770,21,86,0,6,3,12,Regular / Moderate-Value Customers
3445,58,Graduation,Single,60714.0,957,21,56,0,7,4,10,High-Value & Highly Engaged Customers
7828,33,Master,Together,77882.0,818,11,29,0,3,3,5,High-Value & Highly Engaged Customers
3762,28,PhD,Single,69867.0,925,16,30,1,3,5,8,High-Value & Highly Engaged Customers
4391,46,Master,Divorced,63841.0,908,21,64,0,9,3,9,Regular / Moderate-Value Customers
4669,33,Basic,Married,24480.0,102,7,46,0,3,0,4,Low-Value / Low-Engagement Customers
10144,38,Graduation,Together,51369.0,576,14,84,0,8,2,4,Regular / Moderate-Value Customers
8652,68,Graduation,Together,37760.0,317,11,20,0,4,1,6,Low-Value / Low-Engagement Customers
1672,40,PhD,Together,65640.0,461,14,74,0,5,1,8,Regular / Moderate-Value Customers
8962,39,Master,Married,44319.0,37,5,18,0,2,0,3,Regular / Moderate-Value Customers
9974,40,Graduation,Married,30631.0,70,6,75,0,3,1,2,Low-Value / Low-Engagement Customers
10983,62,Graduation,Together,75278.0,930,22,17,0,6,3,13,High-Value & Highly Engaged Customers
8148,58,Master,Together,50898.0,859,20,88,0,6,2,12,Regular / Moderate-Value Customers
10102,48,Graduation,Widow,79946.0,1478,21,19,0,5,11,5,High-Value & Highly Engaged Customers
4697,65,Master,Divorced,35416.0,390,13,62,0,7,1,5,Regular / Moderate-Value Customers
9262,30,2n Cycle,Together,32414.0,52,4,11,1,1,0,3,Low-Value / Low-Engagement Customers
